id,wikipedia_id,url,question,correct,wrong1,wrong2,wrong3,wrong4,wrong5
8c8e325e-3574-4745-96f3-b88c277f8d9a,808628,https://simple.wikipedia.org/wiki/Dark%20Ages%20Radio%20Explorer,What significant cosmic events is the DARE mission aimed to observe?,Formation of the first stars and reionization of the universe,Expansion of the universe and cosmic inflation,Formation of black holes and supernova explosions,Collision of galaxies and dark energy effects,Birth of planets and orbital migrations,Decay of dark matter and formation of quasars
29b26733-75af-463d-b71a-709cb00d8ff4,760030,https://simple.wikipedia.org/wiki/Kennedy%20Stewart%20%28Canadian%20politician%29,What is the full name of the Canadian politician known as Kennedy Stewart?,Edward Charles Kennedy Stewart,Edward John Kennedy Stewart,Charles Edward Kennedy Stewart,Kennedy Edward Charles Stewart,John Edward Charles Stewart,Kennedy Charles John Stewart
6541de52-8d41-4993-8093-50780cb3de45,547979,https://simple.wikipedia.org/wiki/Duncan%20Fletcher,Which national cricket team did Fletcher coach from 1999 to 2007?,England cricket team,India national cricket team,South Africa national cricket team,Pakistan national cricket team,Australia national cricket team,West Indies cricket team
f27841ed-b1c8-433c-91d2-ed44b8c8cf25,63443,https://simple.wikipedia.org/wiki/Uncertainty%20principle,What happens when an electron makes a quantum jump?,It disappears from one orbit and appears in another.,It moves smoothly between orbits.,It collapses into a definitive state.,It remains stationary until acted upon.,It oscillates without changing position.,It absorbs energy without changing orbits.
48c2f5bd-14bc-4bcc-be10-71d0dd1ea2f2,652733,https://simple.wikipedia.org/wiki/Gretchen%20Whitmer,In which city does Gretchen Whitmer currently reside?,East Lansing,Lansing,Detroit,Ann Arbor,Grand Rapids,Flint
b99f5a01-b56a-4dd7-9832-5c643caeb899,267169,https://simple.wikipedia.org/wiki/Changi,What is the primary concern that led to relocating Singapore’s airport to Changi?,Not enough space for growth,Too many natural disasters,Close proximity to residential areas,Insufficient international connections,High transportation costs,Lack of modern facilities
e9e4d66d-1200-4c94-988f-dfed45d707b1,1006958,https://simple.wikipedia.org/wiki/Confucian%20Shinto,Who is known for mixing Confucianism with Shinto?,Yamazaki Ansai,Kaibara Ekken,Miyamoto Musashi,Tokugawa Ieyasu,Ninomiya Sontoku,Kantaro Suzuki
de9d0d10-e250-45da-a148-3a0f3caca373,816457,https://simple.wikipedia.org/wiki/Yumjao%20Leima,What does 'Yumjao' mean in Meitei language?,Large house or big house.,Small house or tiny house.,Royal garden or royal estate.,Public place or common area.,Sacred temple or holy site.,Distant land or foreign territory.
1d749c8a-f11c-4490-8218-ebf9a402d9d9,828472,https://simple.wikipedia.org/wiki/2020%E2%80%9321%20UEFA%20Europa%20League%20knockout%20phase,"What happens if teams from the same group are drawn for the round of 16, quarter-finals, or semi-finals?",They can be drawn against each other.,They are automatically eliminated from the competition.,They will have to play on different match days.,They cannot play against each other regardless of the round.,The match will be rescheduled to a later date.,They will only play if it is the final match.
f152549f-ed84-4980-8486-f70379baf302,1035758,https://simple.wikipedia.org/wiki/Labelled%20with%20Love,What is the name of the album that contains 'Labelled with Love'?,East Side Story,West Side Story,East End Tales,South Side Dreams,North Side Chronicles,Central Story
d48f9473-b03e-4aa7-98c3-5b77414d8b57,81534,https://simple.wikipedia.org/wiki/Mitte%20%28locality%29,Mitte was part of which side of Berlin?,East Berlin,West Berlin,North Berlin,South Berlin,Central Berlin,Greater Berlin
98347ef0-654b-453f-aa7c-03677253f230,692279,https://simple.wikipedia.org/wiki/Denton%20Lotz,What was the last church Denton Lotz served as Senior Pastor?,Tremont Temple Baptist Church,Grace Baptist Church,Union Baptist Church,First Baptist Church,Trinity Baptist Church,New Hope Baptist Church
cbda7844-0eab-4a1e-9ed6-86b5048f6da1,355733,https://simple.wikipedia.org/wiki/Gretchen%20Carlson,"Before joining Fox News, which network did she team up with?",CBS News,NBC News,ABC News,CNN,MSNBC,Fox Sports
e6d06cb9-7065-450a-9303-73e039f1461c,283563,https://simple.wikipedia.org/wiki/2012%20Formula%20One%20World%20Championship,When did the pre-season testing start for this season?,Immediately after the 2011 Abu Dhabi Grand Prix,Shortly after the 2011 Brazilian Grand Prix,Before the 2011 Japanese Grand Prix,Right after the 2011 Singapore Grand Prix,After the 2011 German Grand Prix,Before the 2011 Italian Grand Prix
dee34956-02f7-4374-af57-52e58771dbc0,323195,https://simple.wikipedia.org/wiki/West%20Side%20Park,Where is West Side Park located?,West side of Chicago,East side of Chicago,North side of Chicago,South side of Chicago,Downtown Chicago,Suburbs of Chicago
f80c36f3-4bee-4c03-a809-43c02d095417,143846,https://simple.wikipedia.org/wiki/Everything%20as%20a%20service,What is a common example of an 'as a service' offering?,Software as a Service (SaaS).,Data as a Service (DaaS).,Hardware as a Service (HaaS).,Security as a Service (SecaaS).,Network as a Service (NaaS).,Content as a Service (CaaS).
7b427915-c67e-4ae0-895b-42da4ac65f99,395948,https://simple.wikipedia.org/wiki/Inclosure%20Act%201773,Which historical phenomenon is the Inclosure Act associated with?,The agrarian revolution,The industrial revolution,The urban expansion,The agricultural decline,The colonial expansion,The population revolution
7594a9b3-1ee1-4407-abc9-ea157c44bb53,286554,https://simple.wikipedia.org/wiki/Brandon%20Jones%20%28wide%20receiver%29,How many years did Brandon Jones play in the NFL?,5 years,6 years,4 years,3 years,7 years,2 years
ec891d10-8496-46d0-bc25-8a21da1640e5,123999,https://simple.wikipedia.org/wiki/Trauma%20Center%3A%20Under%20the%20Knife%202,Which character is the president of Caduceus USA?,Robert Hoffman,Richard Anderson,Tyler Chase,Victor Niguel,Derek Stiles,Heather Ross
9bf6809e-c00c-4048-b03b-1b4253b02c20,898980,https://simple.wikipedia.org/wiki/Prince%20Joachim%20of%20Denmark,How many children does Prince Joachim have?,Four,Two,Three,Five,Six,One
e9e99add-e31c-4b1c-8124-b507bac58d37,192939,https://simple.wikipedia.org/wiki/Simone%20Inzaghi,In which year did Simone Inzaghi play for Atalanta?,2007/08,2008/09,2006/07,2005/06,2009/10,2003/04
22131be1-e9a4-4677-b7b5-b3cd8ba5a362,430790,https://simple.wikipedia.org/wiki/I%20Will%20Always%20Love%20You,What year was the song first released?,1974,1980,1970,1990,2000,1985
1e7cdeee-1186-4dac-a460-8aae5ff9388c,23443,https://simple.wikipedia.org/wiki/Quake%20%28video%20game%29,Which difficulty level in Quake can only be accessed in a secret area?,Nightmare,Extreme,Insanity,Hardcore,Expert,Challenging
004ae16b-9bbf-4835-9a92-acd06c0120a6,316351,https://simple.wikipedia.org/wiki/Asuka%2C%20Yamato,How long did the Kiyomihara Palace serve as the capital?,672–694,630–636,603–629,645–654,656–660,593–603
a1263b07-aec5-4201-9e15-2236019532e0,606795,https://simple.wikipedia.org/wiki/Tan%20Kah%20Kee%20MRT%20station,At which event was the Tamil translation of the station name acknowledged as incorrect?,Downtown MRT Line Stage 2 open house,MRT Line Expansion Ceremony,LTA Annual Meeting,Public Transport Forum,Singapore Summit,National Day Parade
21858a32-3357-4cde-9483-828995cea4a4,737906,https://simple.wikipedia.org/wiki/Battle%20of%20Mutina,The Battle of Mutina is categorized as what type of victory for Antony?,Strategic victory,Complete victory,Minor victory,Total defeat,Pyrrhic victory,Decisive defeat
bf1b03ee-29b9-417d-b425-75721be71a50,128640,https://simple.wikipedia.org/wiki/Ozarks,Which area does the Ozarks extend westward into?,Northeast Oklahoma,Northwest Texas,Southeast Kansas,Southwest Missouri,Central Arkansas,Northwest Louisiana
6d66f55c-a2e9-4fc5-9b7b-01ea6d8969c9,914226,https://simple.wikipedia.org/wiki/Andriasa%20contraria,Which region is NOT mentioned as a habitat for Andriasa contraria?,Deserts,Kenya,Cameroon,South Africa,Ethiopia,East Africa
b53da658-98cb-4e8b-8e58-10bb0d243f05,451551,https://simple.wikipedia.org/wiki/Arrondissement%20of%20Cahors,What is the capital of the arrondissement of Cahors?,Cahors,Lot,Figeac,Gourdon,Montauban,Rodez
0b822b61-7332-4460-90d4-8ed3d58dd4c9,9867,https://simple.wikipedia.org/wiki/March%2023,What role do events play in communities?,They bring people together for shared experiences.,They isolate individuals from one another.,They create conflicts and disputes.,They serve no significant purpose.,They focus solely on individual achievements.,They limit social interaction.
f2c84294-62fb-4137-84ea-c069ec9a9204,976934,https://simple.wikipedia.org/wiki/Rabbit%20%28zodiac%29,Which branch is represented by the Rabbit in the Chinese zodiac?,卯,辰,酉,午,寅,戌
e0cfbda5-aae0-42be-9cae-8aa7fca723e0,925371,https://simple.wikipedia.org/wiki/Attempts%20to%20overturn%20the%202020%20United%20States%20presidential%20election,What actions did Trump and his allies take following the election?,They filed many unsuccessful lawsuits to change the results.,They cooperated fully with the incoming administration.,They organized a national campaign to promote voter registration.,They held rallies to support the peaceful transfer of power.,They dismissed allegations of any electoral fraud entirely.,They commenced a nationwide tour to celebrate their accomplishments.
6b27e665-dead-4ee9-8923-392a2237b639,894087,https://simple.wikipedia.org/wiki/Tommy%20Matchick,Which positions did Matchick primarily play?,Infielder,Outfielder,Pitcher,Catcher,Designated hitter,First baseman
a3727766-1f14-4cdc-b78a-e0b08e300c08,307266,https://simple.wikipedia.org/wiki/17%20Again%20%28movie%29,What rating did the movie receive from Metacritic?,48 out of 100,55 out of 100,72 out of 100,40 out of 100,65 out of 100,50 out of 100
28bf3e3e-daa8-4786-88cd-a8fb0f79d331,5909,https://simple.wikipedia.org/wiki/Singapore,What nickname is commonly used for Singapore due to its greenery?,Garden City,Green Paradise,City of Trees,Emerald City,Nature's Haven,Floral City
c3c2c8b6-a307-443f-9005-91cfcf9bb611,470475,https://simple.wikipedia.org/wiki/Audra%20McDonald,How many Tony Awards has Audra McDonald won?,Six,Five,Four,Three,Seven,Eight
06df1210-a9b6-4961-813c-65a9c56958fb,937353,https://simple.wikipedia.org/wiki/24%20%28season%205%29,Who makes a special guest appearance as Vice President Hal Gardner?,Ray Wise,Peter Weller,Julian Sands,William Devane,John Allen Nelson,D. B. Woodside
6e78ef95-748f-43d2-96ec-298a92ef24f0,749940,https://simple.wikipedia.org/wiki/Maejor,What are the professions of Maejor?,"Record producer, rapper, singer, songwriter","Record producer, actor, singer, songwriter","Musician, dancer, songwriter, DJ","Rapper, singer, director, songwriter","Record producer, rapper, musician, actor","Songwriter, DJ, rapper, singer"
2601b266-61b4-4c35-b6eb-cc3121f3c27a,570059,https://simple.wikipedia.org/wiki/Cymmer%2C%20Rhondda%20Cynon%20Taf,What was a significant industry in Cymmer?,Coal mining,Textile manufacturing,Agriculture,Fishing,Lumber production,Brewing
6cc3c0a7-966e-4d0c-8953-7ef760c85513,435152,https://simple.wikipedia.org/wiki/Districts%20of%20Sri%20Lanka,Who appoints the District Secretaries in Sri Lanka?,the central government,local governments,provincial councils,the president,district representatives,the parliament
affcabdc-cc9c-4151-8f81-61996cb4f814,30126,https://simple.wikipedia.org/wiki/Elbow,Which bone is the upper arm bone that connects at the elbow?,Humerus,Scapula,Radius,Ulna,Clavicle,Femur
98b72c68-16c5-478b-9444-a0b8cdce4e86,121440,https://simple.wikipedia.org/wiki/Brad%20Delson,When was Brad Delson born?,"December 1, 1977","November 30, 1977","December 1, 1978","January 1, 1977","December 2, 1977","December 1, 1976"
f4cb1c51-5ae6-43f9-b9d1-f6ab65f061d5,76201,https://simple.wikipedia.org/wiki/Deutsche%20Reichspartei,What was the DRP's stance towards Adolf Hitler?,It did not want to be associated with him.,It fully supported his ideologies.,It planned to revive his policies.,It was a direct successor to his party.,It followed his leadership strictly.,It aimed to eradicate his name from history.
f97f1e23-e971-4c99-af3e-e340a27fed9b,594593,https://simple.wikipedia.org/wiki/Sonny%20Landham,What role did Sonny Landham play in the movie Predator?,Billy Sole,John Matrix,Dutch Schaefer,Stanley Goodspeed,Mike Harrigan,Martin Riggs
43c9370a-88dd-492f-9fd2-8d03373da556,477176,https://simple.wikipedia.org/wiki/Jerry%20Sheindlin,During which years did Jerry Sheindlin serve on The People's Court?,1999 to 2000,1998 to 1999,2000 to 2001,2001 to 2002,1997 to 1998,1999 to 2001
0ae0aace-3cbd-4b5f-b14d-6fd4c544fd3c,907836,https://simple.wikipedia.org/wiki/Telford%2C%20Tennessee,What type of area is Telford classified as?,Census-designated place and unincorporated community,Incorporated city and town,Village and residential district,Rural area and agricultural zone,Metropolitan center and urban landscape,Historic site and nature reserve
8121aa89-6932-4fa1-9900-15887d0ff25a,664301,https://simple.wikipedia.org/wiki/Lavori%20Publici%20FC,In what year did Lavori Publici FC officially start participating in the Somalia first league championship?,1952,1950,1949,1953,1960,1947
c1b04152-0f3c-4443-89e2-ed793734ecd0,288657,https://simple.wikipedia.org/wiki/Central%20Mount%20Stuart,How far is Central Mount Stuart from the Stuart Highway?,About 6 km.,About 12 km.,About 4 km.,About 10 km.,About 8 km.,About 15 km.
2594fb02-ed71-4a24-a925-7655033bfc6a,60770,https://simple.wikipedia.org/wiki/Windows%20Server%202008,In which year was the official name of Windows Server 2008 announced?,2007,2006,2008,2009,2010,2011
a4d411fd-b929-44f8-9ec1-55462fbab023,14321,https://simple.wikipedia.org/wiki/1100,What was the fate of the Chulkhurst twins?,They died in 1134,They were born in 1134,They lived until 1161,They died in 1105,They became queens in 1134,They disappeared in 1134
510dfa2a-ea98-4f90-a756-c4df67b963a2,19675,https://simple.wikipedia.org/wiki/Robert%20Hooke,Who was Hooke's notable rival in the scientific community?,Isaac Newton,Robert Boyle,Galileo Galilei,Thomas Hobbes,Johannes Kepler,Michael Faraday
cfcac879-b49c-400c-b71c-2b9f4a207f40,789956,https://simple.wikipedia.org/wiki/2020%20Sudan%20floods,What efforts were made to protect cultural heritage during the flooding?,Prevent damage to archaeological sites,Promote tourism in the flooded areas,Document political artifacts,Conduct repair work on monuments,Organize cultural festivals,Develop new sites for tourism
cc59d9d7-551c-4eb5-9e0d-f7a70fba57c5,231629,https://simple.wikipedia.org/wiki/Winter%20Youth%20Olympic%20Games,What is the title of the event held in 2020?,Games of the III Olympiad,Games of the II Olympiad,Games of the I Olympiad,Games of the V Olympiad,Games of the IV Olympiad,Games of the VI Olympiad
ffa6a4db-5591-412c-b55b-d7e9e55a6f18,969335,https://simple.wikipedia.org/wiki/Umoja%20Prize%20for%20Contemporary%20Tanzanian%20Artist,Which category is NOT mentioned as a type of artwork eligible for the competition?,Performance art,Digital media,Ceramics,Textiles,Painting on paper,Weaving
1b18c93a-f94d-47e4-9d6a-e6665ff68409,767461,https://simple.wikipedia.org/wiki/Dadra%20and%20Nagar%20Haveli%20and%20Daman%20and%20Diu,What is the total area covered by Dadra and Nagar Haveli and Daman and Diu?,603 sq km,703 sq km,503 sq km,403 sq km,633 sq km,503 sq km
067844ba-5a50-4caa-b87e-50e196ec487c,939220,https://simple.wikipedia.org/wiki/Eddystone%2C%20Pennsylvania,What is Eddystone categorized as?,a borough in Delaware County,a town in Delaware County,a village in Chester County,a city in Philadelphia County,a municipality in Montgomery County,a hamlet in Delaware County
c169f317-7265-4bad-86dd-1d205ed23350,299188,https://simple.wikipedia.org/wiki/Diet%20soft%20drink,What type of beverages are classified as diet sodas?,Sugar-free carbonated beverages,Non-carbonated energy drinks,Alcohol-infused soft drinks,High-sugar sports beverages,Smoothies and diluted juices,Flavored sparkling waters
828b806f-569f-4f76-b86e-6546306ce221,3464,https://simple.wikipedia.org/wiki/Ukraine,What is the capital of Ukraine?,Kyiv,Kharkiv,Odesa,Dnipro,Zaporizhia,Lviv
02f9dcbd-0cea-4984-9c30-368217718fc5,542082,https://simple.wikipedia.org/wiki/Bal%C3%A1zs%20Birtalan,When was Balázs Birtalan born?,"October 12, 1969","October 12, 1970","October 12, 1968","October 12, 1971","October 12, 1965","October 12, 1967"
72dbb4d2-743b-4c1e-bbcf-3b684d87a010,152509,https://simple.wikipedia.org/wiki/Boca%20Raton%2C%20Florida,Where is Boca Raton located?,"Southern Palm Beach County, Florida","Northern Palm Beach County, Florida","Central Palm Beach County, Florida","Southern Broward County, Florida","Northern Broward County, Florida","Western Palm Beach County, Florida"
fec8cff6-c769-4700-9c1c-410f08c2799a,72264,https://simple.wikipedia.org/wiki/Rafael%20Ishkhanyan,When was Rafael Ishkhanyan born?,9 March 1922,9 March 1920,9 March 1925,9 March 1918,9 March 1930,9 March 1935
03155500-bfe3-43f5-b6cb-c48a261b1d85,675330,https://simple.wikipedia.org/wiki/President%20of%20the%20Democratic%20Republic%20of%20the%20Congo,What constitutional article states the requirements for the Presidency?,Article 72,Article 75,Article 70,Article 80,Article 68,Article 90
b4b4f651-ff53-4b38-8147-29288656aeee,611701,https://simple.wikipedia.org/wiki/Mad%20World,In what year was the cover version of 'Mad World' released?,2001,2003,1999,2000,2002,2004
31efb1e1-2235-4814-a3a9-6d5e63fa5644,645192,https://simple.wikipedia.org/wiki/Deneb,What is the brightest star in the constellation of Cygnus?,Deneb,Sirius,Vega,Altair,Betelgeuse,Rigel
f0a4e2bf-9071-468a-8166-1090853b7905,372179,https://simple.wikipedia.org/wiki/Judah%20Maccabee,What happened to Judah Maccabee in the end?,He died in combat,He became a king,He fled to Egypt,He was captured,He retired in peace,He was betrayed
5ebf4bb3-330f-4f8b-bb5b-c5082d409749,139832,https://simple.wikipedia.org/wiki/Georges%20Cuvier,What significant impact did Cuvier have on the concept of organic forms?,He believed there was no evidence for their evolution.,He claimed they evolved through continuous mutation.,He suggested they were fixed and unchanging.,He argued they transformed due to environmental changes.,He stated they could regenerate after extinction events.,He posited that they adapted randomly to new surroundings.
49250f59-bd59-41ee-842f-3bbc4b82fda6,217710,https://simple.wikipedia.org/wiki/Rick%20Rypien,What position did Rick Rypien play in ice hockey?,Centre,Defender,Goaltender,Left Wing,Right Wing,Coach
bfaaa9b6-f34e-4b6e-af55-f15446c83440,925240,https://simple.wikipedia.org/wiki/Elizabeth%20Mrema,Which organization did Elizabeth Mrema work for before joining UNEP?,Tanzania's Ministry of Foreign Affairs and International Cooperation,"United Nations Educational, Scientific and Cultural Organization",World Wildlife Fund,Tanzania's Department of Natural Resources,African Union Commission,International Union for Conservation of Nature
7dc18ee5-aac0-431f-8859-4a59bca2a53a,64450,https://simple.wikipedia.org/wiki/Somersault,How is a somersault executed in mid-air?,By moving the feet over the head.,By twisting the body while on the ground.,By bending at the waist and rolling.,By jumping straight up without any rotation.,By performing a handstand before falling.,By turning in circles on the spot.
c5df0523-a1b1-4d81-8071-78e17b074a56,37710,https://simple.wikipedia.org/wiki/Blood%20cell,Who was the first to observe red blood cells under a microscope?,Jan Swammerdam,Antoni van Leeuwenhoek,Robert Hooke,Louis Pasteur,Gregor Mendel,Charles Darwin
a65aca32-49ff-45f2-8849-dab997a75666,120196,https://simple.wikipedia.org/wiki/Erich%20Wasicky,Which concentration camp did Erich Wasicky work at?,Mauthausen,Auschwitz,Dachau,Buchenwald,Treblinka,Sachsenhausen
b703d685-d56c-40f8-aaec-e076cd4ad085,10506,https://simple.wikipedia.org/wiki/Oslo,Which stadium is located in Oslo?,Ullevål Stadion,National Stadium,Oslo Arena,Frogner Stadion,Vikings Stadium,Norwegian Stadium
a17c2534-e675-4a9f-a213-2e5cb41f2c0d,50737,https://simple.wikipedia.org/wiki/Tentacle%20rape,What is the nature of the relationships depicted in this genre?,Often exploitative and non-consensual.,Mutually respectful and consensual.,Based on deep emotional bonds.,Focused on family dynamics.,Friendly and supportive.,About mentorship and education.
d74c5590-2053-45d4-949b-2a1929e420fa,402215,https://simple.wikipedia.org/wiki/Million%20Dollar%20Password,What is the main objective in the first part of the game?,To get the most words after four rounds,To win a prize at each level,To complete all the clues without passing,To achieve a perfect score in each round,To eliminate the opposing contestant,To gather clues from both celebrities
2247f387-892e-44f0-a974-3abb45cefd55,2924,https://simple.wikipedia.org/wiki/1940s,What major social event began in the United States around 1946?,Baby boom,Civil Rights Movement,Great Depression,Economic Recovery,Hippie Movement,Industrial Revolution
73474665-f921-41f7-8ad0-8634628a55a6,112657,https://simple.wikipedia.org/wiki/Golden%20State%20Warriors,Which team did the Warriors lose to in the 2016 NBA Finals?,Cleveland Cavaliers,Toronto Raptors,Miami Heat,Oklahoma City Thunder,San Antonio Spurs,Boston Celtics
bcf9c8af-6c59-4074-b5c4-88d66d92a79a,773767,https://simple.wikipedia.org/wiki/Hexokinase,"In the reaction catalyzed by hexokinase, which molecule acts as the phosphate donor?",ATP,ADP,NADH,FADH2,GDP,AMP
e5725798-8a36-40b0-9af2-7b6429586074,1010158,https://simple.wikipedia.org/wiki/1970%E2%80%9371%20Austrian%20Cup,What was the name of the defending champions in the competition?,FC Wacker Innsbruck,FK Austria Wien,SK Rapid Wien,SV Austria Salzburg,FC Sturm Graz,SC Rheindorf Altach
0e4409c2-527e-4a7c-b3d9-a91b340c1e76,400379,https://simple.wikipedia.org/wiki/Grand%20Forks%20International%20Airport,Where is Grand Forks International Airport located?,"Grand Forks, North Dakota","Grand Forks, Minnesota","Fargo, North Dakota","Bismarck, North Dakota","Minot, North Dakota","Sioux Falls, South Dakota"
f17a23ae-02f8-4d59-8997-0cfcdcb3a6f9,500469,https://simple.wikipedia.org/wiki/Nontron,What is the average altitude in Nontron?,an unspecified average altitude,the highest altitude of the region,a recorded altitude of 200 meters,the lowest altitude of the area,an average of 300 meters above sea level,an average height of 150 meters
f533342a-65d8-414b-a5f2-85b52f1d6eb3,539449,https://simple.wikipedia.org/wiki/River%20Wandle,Which species is mentioned as having returned due to improved water quality?,Brown trout.,Rainbow trout.,Salmon trout.,Sea trout.,Golden trout.,Char trout.
3babb547-cf43-4e8e-8648-8af7ad3f9f6e,615941,https://simple.wikipedia.org/wiki/Bojhena%20Se%20Bojhena%20%28TV%20series%29,What is Harry's attitude towards Pakhi?,He starts to like her,He completely ignores her,He finds her annoying,He respects her from a distance,He dislikes her friends,He pretends she doesn't exist
654c85b7-47fb-4eb7-8e93-a3eef934048a,730146,https://simple.wikipedia.org/wiki/T.%20N.%20Chaturvedi,Which state did Chaturvedi govern from 2002 to 2007?,Karnataka,Kerala,Maharashtra,Uttar Pradesh,Bihar,Punjab
16be6ebf-68e1-4d11-9983-7892543794c3,772964,https://simple.wikipedia.org/wiki/George%20W.%20Bush%202000%20presidential%20campaign,Which election did Gore win despite the outcome of the electoral college?,The national popular vote,The Florida vote,The Texas popular vote,The electoral college vote,The New York vote,The California popular vote
4a2bc489-199e-4ea3-b828-596e43b5ed43,275382,https://simple.wikipedia.org/wiki/Thallium%28I%29%20fluoride,What type of ion does thallium(I) fluoride contain?,fluoride ions,iodine ions,chloride ions,bromide ions,sulfide ions,nitrate ions
3c4ae25a-51ff-4eaa-b04f-3b28959b6ba7,356131,https://simple.wikipedia.org/wiki/Annalena%20McAfee,Which of the following languages have Annalena McAfee's children's books been translated into?,"French, German, and Dutch","Spanish, Italian, and Russian","Chinese, Japanese, and Korean","Portuguese, Arabic, and Hindi","Polish, Swedish, and Norwegian","Greek, Turkish, and Czech"
09b36c47-f681-448c-97aa-6f319ce1e146,866407,https://simple.wikipedia.org/wiki/Autoregressive%20model,Is an autoregressive model used in statistics?,Yes,"No, it is used in physics","No, it is used in finance","No, it is used in computer science","No, it is used in biology","No, it is used in engineering"
99d78004-7d17-4643-9ef2-284b1489732c,50669,https://simple.wikipedia.org/wiki/Toxicology,Which fields do toxicologists rely on in their work?,"Biology, chemistry, pharmacology, and medicine.","Physics, biology, ecology, and law.","Chemistry, engineering, statistics, and agriculture.","Medicine, sociology, geography, and chemistry.","Biochemistry, physics, history, and mathematics.","Medicine, psychology, art, and biology."
c0d26f47-8f63-4c71-ab24-1b7680e9c114,808705,https://simple.wikipedia.org/wiki/2020%20United%20States%20House%20of%20Representatives%20elections,How many non-voting delegates were elected alongside the House members?,Six non-voting delegates,Three non-voting delegates,Five non-voting delegates,Ten non-voting delegates,Four non-voting delegates,Eight non-voting delegates
4caefd67-7b93-4a36-8ef6-07f64965ed9b,59434,https://simple.wikipedia.org/wiki/Fractional%20distillation,What is the main activity at oil refineries involving fractional distillation?,Separating crude oil into various components,Mixing oil with chemicals for reactions,Storing crude oil for long periods,Converting oil into biofuels,Extracting solid minerals from oil,Clearing impurities from natural gas
5be96154-e37d-4328-ac8a-e9a6e1acf625,470788,https://simple.wikipedia.org/wiki/Marion%20Barry,Which political party did Marion Barry belong to?,Democratic Party,Republican Party,Green Party,Independent,Libertarian Party,Socialist Party
41bb9a14-39eb-4ee5-958d-28c4ea804bd4,26092,https://simple.wikipedia.org/wiki/Sunderland,Which area is known as part of the Anglican Diocese of Durham?,Sunderland,Newcastle,Darlington,Hartlepool,Middlesbrough,Gateshead
0a73b300-ee82-4298-95a7-f763b9ff8d4a,405811,https://simple.wikipedia.org/wiki/County%20Tipperary,County Tipperary is named after which town?,Tipperary,Kilkenny,Waterford,Cork,Limerick,Galway
05e48e70-ef85-4e38-85af-155cd15fed5a,235215,https://simple.wikipedia.org/wiki/Bhagat%20Singh,What was the primary action taken by Bhagat Singh and his partner during the assembly incident?,Bombed the Central Legislative Assembly,Held a peaceful protest outside,Debated with legislators inside,Gave a speech on farmers' rights,Captured the Assembly building,Drew attention with a hunger strike
fd4a5663-5593-4ba9-b026-a276569d417d,619233,https://simple.wikipedia.org/wiki/Oscar%20Gamble,Which Major League Baseball team did Oscar Gamble play for on two separate occasions?,New York Yankees,Boston Red Sox,Los Angeles Dodgers,St. Louis Cardinals,Chicago Cubs,Miami Marlins
8883b16d-de55-4738-a8e1-8f1cd2854b3f,994094,https://simple.wikipedia.org/wiki/Mud%20%28band%29,What year did the band Mud form?,1966,1970,1968,1964,1972,1975
e9d19adf-78f3-4a47-a15e-d68d8de2afa0,70124,https://simple.wikipedia.org/wiki/Cocos%20%28Keeling%29%20Islands,What was the outcome of the High Court of Australia regarding Oceania House?,The government could not buy it.,The government could buy it.,The ruling was postponed indefinitely.,Oceania House was deemed abandoned.,The Clunies-Ross family was evicted.,The property was nationalized.
ab703f9e-83f4-47d7-97fa-011130c80b59,637224,https://simple.wikipedia.org/wiki/Brahmagupta,What is the title of Brahmagupta's work translated as 'correctly established doctrine of Brahma'?,Brāhmasphuṭasiddhānta,Brahmasiddhanta,Brāhmasiddham,Brahmasphuṭa,Brahmashastra,Brāhmaprakash
55faeed7-8b25-4486-9e2d-e648914f576d,738412,https://simple.wikipedia.org/wiki/Jerzy%20Gruza,What genre of television is Jerzy Gruza's work associated with?,Comedy and drama,Horror and thriller,Science fiction and fantasy,Action and adventure,Mystery and suspense,Romance and soap opera
5b560fbf-7982-4ecd-869e-7162f17c8b0d,64972,https://simple.wikipedia.org/wiki/Gary%20Coleman,What medical condition did Gary Coleman suffer from?,Nephritis,Diabetes,Hepatitis,Asthma,Hypertension,Arthritis
425d6aa9-4ac4-4c0b-a294-8b8abe1d99c4,127972,https://simple.wikipedia.org/wiki/Omega%20SA,Who founded Omega SA?,Louis Brandt,Michael Schuhmacher,Cindy Crawford,George Clooney,Nicole Kidman,Daniel Craig
bf345920-2a5d-41ca-9d5a-35db2bd7d9d6,92203,https://simple.wikipedia.org/wiki/Birmingham%20to%20Peterborough%20Line,Which station is no longer operational in the given excerpt?,Croft railway station at Croft,Bishop's Stortford railway station at Bishop's Stortford,Frisby railway station at Frisby,Badminton railway station at Badminton,Skegness railway station at Skegness,Barrow railway station at Barrow
e4fe6d9a-c90f-4f93-9f1e-555f0bd39305,16003,https://simple.wikipedia.org/wiki/Bollington,Who built the notable structure White Nancy?,The Gaskell family,The Adams family,The Johnson family,The Clarke family,The Smith family,The Brown family
05f6146c-691c-484f-ae07-9407f2634b2e,4649,https://simple.wikipedia.org/wiki/Java,Which languages are predominantly spoken in Java?,Javanese language and other languages,Balinese language and other languages,Sundanese language and other languages,Indonesian language and other languages,Malay language and other languages,English language and other languages
0e814054-3f43-46d0-8d83-5c7875e54fb9,794003,https://simple.wikipedia.org/wiki/Richard%20Schifter,How old was Richard Schifter when he died?,97,95,88,99,100,92
